iso3,year,basic_sanitation
ABW,2000,97.9731037869072
ABW,2001,98.0125082381901
ABW,2002,98.051912689473
ABW,2003,98.0913171407559
ABW,2004,98.1307215920388
ABW,2005,98.1701260433217
ABW,2006,98.2095304946046
ABW,2007,98.2489349458875
ABW,2008,98.2883393971704
ABW,2009,98.3277438484533
ABW,2010,98.3671482997362
ABW,2011,98.4065527510191
ABW,2012,98.445957202302
ABW,2013,98.4853616535849
ABW,2014,98.5247661048679
ABW,2015,98.5641705561508
ABW,2016,98.6035750074337
ABW,2017,98.6429794587166
ABW,2018,98.6823839099995
ABW,2019,98.7217883612824
ABW,2020,98.7611928125653
ABW,2021,98.8005972638482
ABW,2022,98.8400017151311
ABW,2023,98.8400017151311
ABW,2024,98.8400017151311
AFE,2000,21.96219090808459
AFE,2001,22.28366785083865
AFE,2002,22.624437073019582
AFE,2003,22.99664987289474
AFE,2004,23.376233922093167
AFE,2005,23.923052850615075
AFE,2006,24.468060928214037
AFE,2007,25.006677364971978
AFE,2008,25.60242269147635
AFE,2009,26.21177024053323
AFE,2010,26.823786768524702
AFE,2011,27.045864238517687
AFE,2012,27.65105049337135
AFE,2013,28.27323798568676
AFE,2014,28.915075645166198
AFE,2015,29.58062997924282
AFE,2016,30.20729871132315
AFE,2017,30.933487688586855
AFE,2018,31.60821933508394
AFE,2019,32.2445544986626
AFE,2020,32.879994032804866
AFE,2021,33.57106633781098
AFE,2022,34.27916961205134
AFE,2023,34.07951394853839
AFE,2024,34.66345163295131
AFG,2000,22.298273284655
AFG,2001,22.3095245309963
AFG,2002,23.7347094449173
AFG,2003,25.160116505547
AFG,2004,26.592743290922
AFG,2005,28.0329173729232
AFG,2006,29.4737113537171
AFG,2007,30.8753174900848
AFG,2008,32.2737202067488
AFG,2009,33.6691080892303
AFG,2010,35.0616668763216
AFG,2011,36.4517450288191
AFG,2012,37.8393855148321
AFG,2013,39.2247837532389
AFG,2014,40.6081362553092
AFG,2015,41.9898186307368
AFG,2016,43.3698641937307
AFG,2017,44.7508111861658
AFG,2018,46.1335435081079
AFG,2019,47.5183902057843
AFG,2020,48.9056813120247
AFG,2021,50.2966403259731
AFG,2022,51.6914397704169
AFG,2023,53.0909369400519
AFG,2024,54.4957993646086
AFW,2000,21.735887181669174
AFW,2001,21.984290335405827
AFW,2002,22.60989477493461
AFW,2003,23.26143475069203
AFW,2004,23.93751395636293
AFW,2005,24.64184067397058
AFW,2006,25.36540150835215
AFW,2007,26.10391838786276
AFW,2008,26.857264590998103
AFW,2009,27.630638167292602
AFW,2010,28.422640747127474
AFW,2011,29.22801899571183
AFW,2012,30.050548404062923
AFW,2013,30.89176802055089
AFW,2014,31.750837713596127
AFW,2015,32.625068339627354
AFW,2016,33.509351412567625
AFW,2017,34.40790093596933
AFW,2018,35.20161156837149
AFW,2019,36.124107547896394
AFW,2020,37.059905438737566
AFW,2021,38.00753784665276
AFW,2022,39.190617746411505
AFW,2023,40.138712585968584
AFW,2024,40.56290861448481
AGO,2000,33.8004076625916
AGO,2001,34.2558546036306
AGO,2002,34.7112995930867
AGO,2003,35.7566857674784
AGO,2004,36.8026608112345
AGO,2005,37.8465318357126
AGO,2006,38.7338819151989
AGO,2007,39.6205689404056
AGO,2008,40.5073529931406
AGO,2009,41.3926874563562
AGO,2010,42.2777189153195
AGO,2011,43.1620627220945
AGO,2012,44.0453181222275
AGO,2013,44.9270819739207
AGO,2014,45.8077399649675
AGO,2015,46.6837650963553
AGO,2016,47.555908833618
AGO,2017,48.4237656848917
AGO,2018,49.2865229934191
AGO,2019,49.5470237290202
AGO,2020,49.8016376564917
AGO,2021,50.0511353702384
AGO,2022,50.2951359158799
AGO,2023,NA
AGO,2024,NA
ALB,2000,89.4886699063414
ALB,2001,90.0309557632919
ALB,2002,90.6055152426868
ALB,2003,91.1654528669664
ALB,2004,91.710652089826
ALB,2005,92.32297892735
ALB,2006,92.9214090363528
ALB,2007,93.5057448871061
ALB,2008,94.075815843771
ALB,2009,94.6311562732715
ALB,2010,95.1721611108923
ALB,2011,95.6984906230124
ALB,2012,96.210272006809
ALB,2013,96.7065607873958
ALB,2014,97.188017102045393
ALB,2015,97.6549680441734
ALB,2016,98.1079014758832
ALB,2017,98.5472964296809
ALB,2018,98.9736466158724
ALB,2019,99.1830672601737
ALB,2020,99.298792439378
ALB,2021,99.2990351357274
ALB,2022,99.2992678183537
ALB,2023,99.2994944120586
ALB,2024,99.2997151439025
AND,2000,99.9999977350507
AND,2001,99.9999981868428
AND,2002,100
AND,2003,100
AND,2004,99.999995252479
AND,2005,100
AND,2006,100
AND,2007,100
AND,2008,100
AND,2009,99.9999971715362
AND,2010,99.9999980431632
AND,2011,100
AND,2012,99.9999982821599
AND,2013,100
AND,2014,100
AND,2015,100
AND,2016,100
AND,2017,100
AND,2018,100
AND,2019,100
AND,2020,99.9999952180714
AND,2021,100
AND,2022,99.9999963147646
AND,2023,100
AND,2024,100
ARB,2000,71.44591894582186
ARB,2001,71.69752670521602
ARB,2002,72.01585564516394
ARB,2003,72.41141992681693
ARB,2004,72.78542697722644
ARB,2005,73.46250531590843
ARB,2006,74.19626694659681
ARB,2007,74.94145588969411
ARB,2008,75.69771667676414
ARB,2009,76.42023581249842
ARB,2010,77.14801304201566
ARB,2011,77.94222428618835
ARB,2012,78.70320166092384
ARB,2013,80.71289814112092
ARB,2014,81.38041499703324
ARB,2015,82.06471656273362
ARB,2016,82.71818987088537
ARB,2017,83.30654294856681
ARB,2018,83.85432476465618
ARB,2019,84.38625120823639
ARB,2020,84.9310720181759
ARB,2021,85.29708136422956
ARB,2022,85.80413417562619
ARB,2023,86.35323165027395
ARB,2024,86.92412737527158
ARE,2000,99.160856612895
ARE,2001,99.1568733967511
ARE,2002,99.1529487950729
ARE,2003,99.1490944909121
ARE,2004,99.1452977289426
ARE,2005,99.1415716401996
ARE,2006,99.1379008454285
ARE,2007,99.1343292735579
ARE,2008,99.1308669416224
ARE,2009,99.1274862085327
ARE,2010,99.1241974644732
ARE,2011,99.120999868482
ARE,2012,99.1178959002456
ARE,2013,99.1148814743619
ARE,2014,99.1119382516612
ARE,2015,99.1090951528049
ARE,2016,99.1063234658359
ARE,2017,99.1036305730769
ARE,2018,99.1010218730891
ARE,2019,99.0984768671773
ARE,2020,99.0960113749665
ARE,2021,99.0936250142386
ARE,2022,99.0913042673601
ARE,2023,99.0890518596042
ARE,2024,99.0868783474854
ARG,2000,87.6669268418186
ARG,2001,88.1359380067969
ARG,2002,88.6033982942423
ARG,2003,89.0695612672158
ARG,2004,89.5350610098707
ARG,2005,89.9997295570375
ARG,2006,90.4637841739601
