iso3,year,female_secondary_enrollment
ABW,2000,91.7377166748047
ABW,2001,97.3598327636719
ABW,2002,98.0552368164062
ABW,2003,101.518623352051
ABW,2004,99.1840209960938
ABW,2005,98.7961730957031
ABW,2006,99.4164505004883
ABW,2007,108.058410644531
ABW,2008,101.330078125
ABW,2009,100.589973449707
ABW,2010,97.9808731079102
ABW,2011,97.4022598266602
ABW,2012,108.883651733398
ABW,2013,NA
ABW,2014,NA
ABW,2015,NA
ABW,2016,NA
ABW,2017,NA
ABW,2018,143.72492980957
ABW,2019,141.99267578125
ABW,2020,142.045455932617
ABW,2021,135.442672729492
ABW,2022,140.441833496094
ABW,2023,NA
ABW,2024,128.74852420307
AFE,2000,25.5485401153564
AFE,2001,26.3633804321289
AFE,2002,26.9570503234863
AFE,2003,27.4211807250977
AFE,2004,28.4966602325439
AFE,2005,29.3665599822998
AFE,2006,30.7157497406006
AFE,2007,31.8105907440186
AFE,2008,33.3657188415527
AFE,2009,34.5432586669922
AFE,2010,35.623420715332
AFE,2011,36.5236701965332
AFE,2012,37.6529693603516
AFE,2013,38.6157493591309
AFE,2014,39.738208770752
AFE,2015,39.6892509460449
AFE,2016,40.2670402526855
AFE,2017,40.8391418457031
AFE,2018,41.1385498046875
AFE,2019,41.6500816345215
AFE,2020,42.3275299072266
AFE,2021,42.7693405151367
AFE,2022,42.9131698608398
AFE,2023,NA
AFE,2024,NA
AFG,2000,NA
AFG,2001,0
AFG,2002,NA
AFG,2003,6.96920013427734
AFG,2004,6.38919019699097
AFG,2005,9.67969036102295
AFG,2006,15.3283004760742
AFG,2007,15.3513603210449
AFG,2008,22.7884502410889
AFG,2009,28.3175792694092
AFG,2010,33.0262413024902
AFG,2011,36.9816284179688
AFG,2012,38.5514297485352
AFG,2013,38.722900390625
AFG,2014,38.5330581665039
AFG,2015,37.8227882385254
AFG,2016,38.5832786560059
AFG,2017,39.937858581543
AFG,2018,41.3507118225098
AFG,2019,NA
AFG,2020,NA
AFG,2021,NA
AFG,2022,NA
AFG,2023,45.1596908569336
AFG,2024,NA
AFW,2000,18.7828693389893
AFW,2001,20.19407081604
AFW,2002,20.6358604431152
AFW,2003,22.5834197998047
AFW,2004,24.1746807098389
AFW,2005,25.2043399810791
AFW,2006,25.3873996734619
AFW,2007,25.3766708374023
AFW,2008,28.1702404022217
AFW,2009,30.8871803283691
AFW,2010,33.9896202087402
AFW,2011,35.5903816223145
AFW,2012,37.8155899047852
AFW,2013,42.5206108093262
AFW,2014,38.7878112792969
AFW,2015,40.3699607849121
AFW,2016,39.0918617248535
AFW,2017,39.740650177002
AFW,2018,40.4764213562012
AFW,2019,42.076530456543
AFW,2020,43.326961517334
AFW,2021,44.3946685791016
AFW,2022,44.9384689331055
AFW,2023,46.1132011413574
AFW,2024,46.0673294067383
AGO,2000,12.1040000915527
AGO,2001,13.2332096099853
AGO,2002,14.7315998077393
AGO,2003,NA
AGO,2004,NA
AGO,2005,NA
AGO,2006,NA
AGO,2007,NA
AGO,2008,19.9174499511719
AGO,2009,21.1587905883789
AGO,2010,22.98756980896
AGO,2011,22.3924407958984
AGO,2012,NA
AGO,2013,NA
AGO,2014,NA
AGO,2015,NA
AGO,2016,42.9851256990708
AGO,2017,NA
AGO,2018,NA
AGO,2019,NA
AGO,2020,NA
AGO,2021,49.4286274279557
AGO,2022,NA
AGO,2023,48.1175394651696
AGO,2024,NA
ALB,2000,66.8600311279297
ALB,2001,69.292106628418
ALB,2002,NA
ALB,2003,NA
ALB,2004,77.1257705688477
ALB,2005,80.9782333374023
ALB,2006,82.5476684570312
ALB,2007,84.5937118530273
ALB,2008,85.9438629150391
ALB,2009,88.4567413330078
ALB,2010,91.1922378540039
ALB,2011,92.2976379394531
ALB,2012,94.2169723510742
ALB,2013,99.1101650982234
ALB,2014,98.9064599746518
ALB,2015,99.0993228142471
ALB,2016,96.6560853943559
ALB,2017,94.9233468518998
ALB,2018,95.8495450622985
ALB,2019,95.5375027821055
ALB,2020,92.2998271538817
ALB,2021,94.3556604734894
ALB,2022,93.2280956589459
ALB,2023,92.6682931237011
ALB,2024,106.71573638916
AND,2000,NA
AND,2001,NA
AND,2002,85.6831817626953
AND,2003,85.3645629882812
AND,2004,81.6305999755859
AND,2005,89.1366195678711
AND,2006,86.9112319946289
AND,2007,85.7791900634766
AND,2008,86.7674026489258
AND,2009,85.9325790405273
AND,2010,89.1314163208008
AND,2011,87.0305709838867
AND,2012,88.2096099853516
AND,2013,87.4892501831055
AND,2014,89.3149490356445
AND,2015,90.8539199829102
AND,2016,95.5604400634766
AND,2017,95.4148483276367
AND,2018,97.8036804199219
AND,2019,95.9698791503906
AND,2020,96.9991226196289
AND,2021,98.0232086181641
AND,2022,98.0160369873047
AND,2023,99.4687423706055
AND,2024,101.475868225098
ARB,2000,56.1960716247559
ARB,2001,57.5917701721191
ARB,2002,58.7111282348633
ARB,2003,60.5331802368164
ARB,2004,61.9100914001465
ARB,2005,61.6643486022949
ARB,2006,61.9617195129395
ARB,2007,61.0592498779297
ARB,2008,61.1059417724609
ARB,2009,62.877799987793
ARB,2010,63.3116188049316
ARB,2011,65.2037963867188
ARB,2012,65.3947219848633
ARB,2013,63.5361595153809
ARB,2014,63.9555587768555
ARB,2015,64.5253677368164
ARB,2016,64.8255615234375
ARB,2017,65.4355316162109
ARB,2018,65.6868133544922
ARB,2019,66.192512512207
ARB,2020,66.1664199829102
ARB,2021,66.8292694091797
ARB,2022,68.3780136108398
ARB,2023,67.6763610839844
ARB,2024,68.0927886962891
ARE,2000,NA
ARE,2001,NA
ARE,2002,NA
ARE,2003,NA
ARE,2004,NA
ARE,2005,NA
ARE,2006,NA
ARE,2007,NA
ARE,2008,NA
ARE,2009,NA
ARE,2010,NA
ARE,2011,NA
ARE,2012,NA
ARE,2013,NA
ARE,2014,NA
ARE,2015,NA
ARE,2016,NA
ARE,2017,NA
ARE,2018,100.131416320801
ARE,2019,101.139777479205
ARE,2020,99.1370929452638
ARE,2021,102.068631287595
ARE,2022,98.9789962768555
ARE,2023,102.195120776205
ARE,2024,100.110276412248
ARG,2000,99.8094177246094
ARG,2001,101.411613464355
ARG,2002,100.75479888916
ARG,2003,100.139373779297
ARG,2004,100.194129943848
ARG,2005,98.7863388061523
ARG,2006,98.0361328125
ARG,2007,98.1988677978516
ARG,2008,99.5787734985352
ARG,2009,102.57689666748
ARG,2010,104.500671386719
ARG,2011,106.733993530273
ARG,2012,107.975830078125
ARG,2013,109.241096496582
ARG,2014,110.363609313965
ARG,2015,111.491546630859
ARG,2016,112.874443054199
ARG,2017,113.530090332031
ARG,2018,112.869537353516
ARG,2019,113.60587310791
ARG,2020,115.878791809082
ARG,2021,119.181510925293
ARG,2022,117.566009521484
ARG,2023,107.980730920017
ARG,2024,NA
ARM,2000,88.5902481079102
ARM,2001,NA
ARM,2002,NA
ARM,2003,NA
ARM,2004,NA
ARM,2005,NA
ARM,2006,NA
ARM,2007,94.7361068725586
ARM,2008,93.9530563354492
ARM,2009,99.4727630615234
ARM,2010,104.280326843262
ARM,2011,92.7371215820312
ARM,2012,NA
ARM,2013,86.4559326171875
ARM,2014,86.6189804077148
ARM,2015,86.1423797607422
ARM,2016,NA
ARM,2017,NA
ARM,2018,82.6929233518222
ARM,2019,86.6098941525282
ARM,2020,87.5163440721926
ARM,2021,89.5961159583451
ARM,2022,90.1215425051106
ARM,2023,88.2232017685754
ARM,2024,90.1346954711088
ASM,2000,NA
ASM,2001,NA
ASM,2002,NA
ASM,2003,NA
ASM,2004,NA
ASM,2005,NA
ASM,2006,NA
ASM,2007,NA
ASM,2008,NA
ASM,2009,NA
ASM,2010,NA
ASM,2011,NA
ASM,2012,NA
ASM,2013,NA
ASM,2014,NA
ASM,2015,NA
ASM,2016,NA
ASM,2017,NA
ASM,2018,NA
ASM,2019,NA
ASM,2020,NA
ASM,2021,NA
ASM,2022,NA
ASM,2023,NA
ASM,2024,NA
ATG,2000,78.4783935546875
ATG,2001,NA
ATG,2002,NA
ATG,2003,NA
ATG,2004,NA
ATG,2005,NA
ATG,2006,NA
ATG,2007,112.965049743652
ATG,2008,121.629211425781
ATG,2009,120.998901367188
ATG,2010,117.978141784668
ATG,2011,116.915008544922
ATG,2012,126.204559326172
ATG,2013,NA
ATG,2014,115.915657043457
ATG,2015,119.018043518066
ATG,2016,NA
ATG,2017,115.81339263916
ATG,2018,119.61092376709
ATG,2019,NA
ATG,2020,NA
ATG,2021,NA
ATG,2022,107.737361282367
ATG,2023,109.004008633981
ATG,2024,NA
AUS,2000,NA
AUS,2001,NA
AUS,2002,NA
AUS,2003,NA
AUS,2004,NA
AUS,2005,NA
AUS,2006,NA
AUS,2007,NA
AUS,2008,NA
AUS,2009,NA
AUS,2010,NA
AUS,2011,NA
AUS,2012,NA
AUS,2013,NA
AUS,2014,NA
AUS,2015,147.584396362305
AUS,2016,144.401290893555
AUS,2017,144.534530639648
AUS,2018,132.354217529297
AUS,2019,139.616836547852
AUS,2020,135.490798950195
AUS,2021,133.347183227539
AUS,2022,130.563079833984
AUS,2023,131.09733581543
AUS,2024,129.089096069336
AUT,2000,NA
AUT,2001,96.7734069824219
AUT,2002,96.4945831298828
AUT,2003,96.9213027954102
AUT,2004,96.5513229370117
AUT,2005,97.7880630493164
AUT,2006,98.4202194213867
AUT,2007,98.1064224243164
AUT,2008,98.0029373168945
AUT,2009,98.306266784668
AUT,2010,98.2814788818359
AUT,2011,97.5853881835938
AUT,2012,98.1663970947266
AUT,2013,99.4306716918945
AUT,2014,99.4170379638672
AUT,2015,99.7147521972656
AUT,2016,99.1238174438477
AUT,2017,98.8336181640625
AUT,2018,98.9431686401367
AUT,2019,100.049346923828
AUT,2020,100.287178039551
AUT,2021,101.08470916748
AUT,2022,100.453628540039
AUT,2023,99.5390701293945
AUT,2024,99.9565505981445
AZE,2000,NA
AZE,2001,NA
AZE,2002,NA
AZE,2003,NA
AZE,2004,NA
AZE,2005,NA
AZE,2006,NA
AZE,2007,NA
AZE,2008,NA
AZE,2009,NA
AZE,2010,NA
AZE,2011,NA
AZE,2012,NA
AZE,2013,NA
AZE,2014,NA
AZE,2015,NA
AZE,2016,NA
AZE,2017,NA
AZE,2018,108.65273695473
AZE,2019,107.552111988747
AZE,2020,90.4353484324383
AZE,2021,90.4878029868337
AZE,2022,88.7876201854696
AZE,2023,90.9502304680864
AZE,2024,89.60752233538
BDI,2000,NA
BDI,2001,NA
BDI,2002,NA
BDI,2003,8.93451976776123
BDI,2004,10.1669101715088
BDI,2005,11.0440502166748
BDI,2006,12.2075300216675
BDI,2007,12.8603200912476
BDI,2008,NA
BDI,2009,17.5529193878174
BDI,2010,19.8866806030273
BDI,2011,22.7597904205322
BDI,2012,25.6550006866455
BDI,2013,30.7229452018777
BDI,2014,37.6532236992696
BDI,2015,42.5848131340896
BDI,2016,47.4670778135604
BDI,2017,49.4867506946943
BDI,2018,48.9246508069948
BDI,2019,44.8293939228029
BDI,2020,49.2576387332398
BDI,2021,NA
BDI,2022,NA
BDI,2023,NA
BDI,2024,NA
BEL,2000,NA
BEL,2001,164.421981811523
BEL,2002,166.829498291016
BEL,2003,166.853012084961
BEL,2004,158.973358154297
BEL,2005,166.336334228516
BEL,2006,168.262008666992
BEL,2007,169.791259765625
BEL,2008,171.841247558594
BEL,2009,171.172912597656
BEL,2010,171.341003417969
BEL,2011,170.005645751953
BEL,2012,171.274078369141
BEL,2013,172.689697265625
BEL,2014,172.866333007812
BEL,2015,174.837173461914
BEL,2016,170.400466918945
BEL,2017,168.216491699219
BEL,2018,165.985092163086
BEL,2019,166.064483642578
BEL,2020,160.896133422852
BEL,2021,150.585006713867
BEL,2022,151.826583862305
BEL,2023,152.577819824219
BEL,2024,NA
BEN,2000,12.5444002151489
BEN,2001,13.908769607544
BEN,2002,15.1186399459839
BEN,2003,15.833459854126
BEN,2004,17.0808696746826
BEN,2005,NA
BEN,2006,NA
BEN,2007,NA
BEN,2008,NA
BEN,2009,NA
BEN,2010,NA
BEN,2011,35.1887283325195
BEN,2012,NA
BEN,2013,41.857421875
BEN,2014,43.0372085571289
BEN,2015,46.0378799438477
BEN,2016,47.7052116394043
BEN,2017,NA
BEN,2018,NA
BEN,2019,NA
BEN,2020,39.4178810119629
BEN,2021,40.2546501159668
BEN,2022,40.2818489074707
BEN,2023,NA
BEN,2024,NA
BFA,2000,7.76679992675781
BFA,2001,7.95838022232056
BFA,2002,NA
BFA,2003,9.13255977630615
BFA,2004,10.11203956604
BFA,2005,11.0454902648926
BFA,2006,11.844220161438
BFA,2007,12.869119644165
BFA,2008,15.2496795654297
BFA,2009,16.4878997802734
BFA,2010,18.2026272062904
BFA,2011,20.1504937591634
BFA,2012,22.4369517647316
BFA,2013,25.1246647585712
BFA,2014,27.3772509415436
BFA,2015,31.3499100869596
BFA,2016,33.8377858408122
BFA,2017,36.4337512769058
BFA,2018,39.4315297671845
BFA,2019,40.517531621348
BFA,2020,40.2090461523707
BFA,2021,40.1334643135395
BFA,2022,36.1300743115017
BFA,2023,33.6455886002101
BFA,2024,33.2389182465594
BGD,2000,47.110969543457
BGD,2001,50.0232887268066
BGD,2002,51.7350006103516
BGD,2003,51.6876182556152
BGD,2004,46.7358283996582
BGD,2005,46.4920997619629
BGD,2006,46.8596611022949
BGD,2007,47.5436897277832
BGD,2008,47.0520896911621
