iso3,year,fertility
ABW,2000,1.845
ABW,2001,1.813
ABW,2002,1.8
ABW,2003,1.808
ABW,2004,1.819
ABW,2005,1.844
ABW,2006,1.862
ABW,2007,1.881
ABW,2008,1.889
ABW,2009,1.875
ABW,2010,1.855
ABW,2011,1.858
ABW,2012,1.907
ABW,2013,1.944
ABW,2014,1.944
ABW,2015,1.899
ABW,2016,1.848
ABW,2017,1.785
ABW,2018,1.732
ABW,2019,1.701
ABW,2020,1.662
ABW,2021,1.631
ABW,2022,1.615
ABW,2023,1.602
ABW,2024,1.606
AFE,2000,5.549893018950133
AFE,2001,5.501766093659847
AFE,2002,5.4496957712057466
AFE,2003,5.407327920135451
AFE,2004,5.38130825995291
AFE,2005,5.350398519320968
AFE,2006,5.305920472429557
AFE,2007,5.253984801032769
AFE,2008,5.219403495337566
AFE,2009,5.142535441797308
AFE,2010,5.066491306948193
AFE,2011,4.98101022132388
AFE,2012,4.899627175279481
AFE,2013,4.819579317433963
AFE,2014,4.748087976693783
AFE,2015,4.676522670895813
AFE,2016,4.615756407082289
AFE,2017,4.5699152535805565
AFE,2018,4.521453514694671
AFE,2019,4.471350936409921
AFE,2020,4.412998740220405
AFE,2021,4.350690764908697
AFE,2022,4.287079891512355
AFE,2023,4.2238605772753335
AFE,2024,4.1640437912511095
AFG,2000,7.566
AFG,2001,7.453
AFG,2002,7.32
AFG,2003,7.174
AFG,2004,7.018
AFG,2005,6.858
AFG,2006,6.686
AFG,2007,6.508
AFG,2008,6.392
AFG,2009,6.295
AFG,2010,6.195
AFG,2011,6.094
AFG,2012,5.985
AFG,2013,5.879
AFG,2014,5.77
AFG,2015,5.652
AFG,2016,5.542
AFG,2017,5.433
AFG,2018,5.327
AFG,2019,5.238
AFG,2020,5.145
AFG,2021,5.039
AFG,2022,4.932
AFG,2023,4.84
AFG,2024,4.761
AFW,2000,6.022146626938357
AFW,2001,5.990074297957009
AFW,2002,5.956199611277055
AFW,2003,5.923572271727394
AFW,2004,5.8955079223439455
AFW,2005,5.871766905570454
AFW,2006,5.846032152183479
AFW,2007,5.8096508666880675
AFW,2008,5.785477294980181
AFW,2009,5.751125441373299
AFW,2010,5.712902231770102
AFW,2011,5.665671587225032
AFW,2012,5.596795476030778
AFW,2013,5.515460804845959
AFW,2014,5.44001087472848
AFW,2015,5.346587555018487
AFW,2016,5.228975134139819
AFW,2017,5.098889708827972
AFW,2018,4.962572036698459
AFW,2019,4.829142130268045
AFW,2020,4.707404635309481
AFW,2021,4.6377384603442176
AFW,2022,4.563357400490721
AFW,2023,4.49771421640594
AFW,2024,4.41598323738392
AGO,2000,6.639
AGO,2001,6.601
AGO,2002,6.567
AGO,2003,6.533
AGO,2004,6.499
AGO,2005,6.461
AGO,2006,6.419
AGO,2007,6.372
AGO,2008,6.32
AGO,2009,6.26
AGO,2010,6.194
AGO,2011,6.12
AGO,2012,6.039
AGO,2013,5.953
AGO,2014,5.864
AGO,2015,5.774
AGO,2016,5.686
AGO,2017,5.6
AGO,2018,5.519
AGO,2019,5.442
AGO,2020,5.371
AGO,2021,5.304
AGO,2022,5.209
AGO,2023,5.124
AGO,2024,5.048
ALB,2000,2.217
ALB,2001,2.141
ALB,2002,2.002
ALB,2003,2.006
ALB,2004,1.889
ALB,2005,1.787
ALB,2006,1.686
ALB,2007,1.633
ALB,2008,1.616
ALB,2009,1.638
ALB,2010,1.653
ALB,2011,1.677
ALB,2012,1.719
ALB,2013,1.741
ALB,2014,1.721
ALB,2015,1.631
ALB,2016,1.555
ALB,2017,1.486
ALB,2018,1.415
ALB,2019,1.395
ALB,2020,1.371
ALB,2021,1.365
ALB,2022,1.355
ALB,2023,1.348
ALB,2024,1.341
AND,2000,1.273
AND,2001,1.305
AND,2002,1.265
AND,2003,1.18
AND,2004,1.229
AND,2005,1.224
AND,2006,1.234
AND,2007,1.189
AND,2008,1.25
AND,2009,1.208
AND,2010,1.275
AND,2011,1.321
AND,2012,1.26
AND,2013,1.142
AND,2014,1.168
AND,2015,1.223
AND,2016,1.184
AND,2017,1.129
AND,2018,1.053
AND,2019,1.045
AND,2020,1.028
AND,2021,1.058
AND,2022,1.071
AND,2023,1.082
AND,2024,1.087
ARB,2000,3.9347492341924797
ARB,2001,3.8584496826232524
ARB,2002,3.781000749105279
ARB,2003,3.72725438909958
ARB,2004,3.679650701554302
ARB,2005,3.6433356042584992
ARB,2006,3.6192284959691405
ARB,2007,3.6042847671164853
ARB,2008,3.5802852065566118
ARB,2009,3.5711860770288104
ARB,2010,3.5718607348387934
ARB,2011,3.565975890318818
ARB,2012,3.5821603197912855
ARB,2013,3.574127169893304
ARB,2014,3.5621263347277465
ARB,2015,3.53244359112271
ARB,2016,3.462988078120245
ARB,2017,3.425198221454844
ARB,2018,3.3242687561468345
ARB,2019,3.255093078570634
ARB,2020,3.208268656984841
ARB,2021,3.1455884270171492
ARB,2022,3.107766744810512
ARB,2023,3.0897508376237415
ARB,2024,3.057414579152157
ARE,2000,2.733
ARE,2001,2.622
ARE,2002,2.541
ARE,2003,2.491
ARE,2004,2.385
ARE,2005,2.232
ARE,2006,1.958
ARE,2007,1.792
ARE,2008,1.516
ARE,2009,1.582
ARE,2010,1.565
ARE,2011,1.539
ARE,2012,1.532
ARE,2013,1.527
ARE,2014,1.483
ARE,2015,1.417
ARE,2016,1.366
ARE,2017,1.35
ARE,2018,1.288
ARE,2019,1.247
