iso3,year,gdp_pc
ABW,2000,20681.023026962517
ABW,2001,20740.132582817216
ABW,2002,21307.24825052669
ABW,2003,21949.48599608684
ABW,2004,23700.63198991973
ABW,2005,24171.83713254216
ABW,2006,24845.658483619995
ABW,2007,26736.308944404624
ABW,2008,28171.909400850072
ABW,2009,25134.7712303589
ABW,2010,24093.140151062573
ABW,2011,25712.3843015186
ABW,2012,25119.665544983844
ABW,2013,25813.571440843843
ABW,2014,26129.839061769275
ABW,2015,27458.220153750623
ABW,2016,27441.55021446005
ABW,2017,28440.04168814911
ABW,2018,30082.158422679753
ABW,2019,30645.89060245485
ABW,2020,22759.807175072245
ABW,2021,26749.329609311764
ABW,2022,30975.9989121779
ABW,2023,35718.75311916344
ABW,2024,39498.59412937967
AFE,2000,706.7272609670093
AFE,2001,625.8278154411498
AFE,2002,630.5123276484624
AFE,2003,815.4322962677348
AFE,2004,989.015463629244
AFE,2005,1126.297323391195
AFE,2006,1235.2666081177138
AFE,2007,1381.5525968928991
AFE,2008,1447.5457543755215
AFE,2009,1408.7534665942826
AFE,2010,1628.9052479313925
AFE,2011,1761.9892609615918
AFE,2012,1732.0380214533523
AFE,2013,1706.0227441262118
AFE,2014,1690.1667924594424
AFE,2015,1498.8752400758965
AFE,2016,1334.4705003292756
AFE,2017,1528.1042242128397
AFE,2018,1552.0737219491925
AFE,2019,1507.085599634839
AFE,2020,1351.5916691087855
AFE,2021,1562.4161747773767
AFE,2022,1679.3276216646611
AFE,2023,1571.449189189805
AFE,2024,1615.3963556284916
AFG,2000,174.9309914301663
AFG,2001,138.7068216761131
AFG,2002,178.95408837923534
AFG,2003,198.87111572872664
AFG,2004,221.76365387301306
AFG,2005,254.18424914933624
AFG,2006,274.21855356157454
AFG,2007,376.2231520038759
AFG,2008,381.7332380284397
AFG,2009,452.053705477043
AFG,2010,560.6215054631456
AFG,2011,606.6946763377257
AFG,2012,651.4171344700457
AFG,2013,637.0870991170988
AFG,2014,625.0549418139383
AFG,2015,565.5697304087512
AFG,2016,522.0822155838985
AFG,2017,525.4697708916185
AFG,2018,491.3372213826032
AFG,2019,496.6025042584997
AFG,2020,510.78706336681074
AFG,2021,356.49621411589226
AFG,2022,357.2611527981439
AFG,2023,413.75789470530316
AFG,2024,NA
AFW,2000,518.9692260546825
AFW,2001,532.9727872217544
AFW,2002,619.3373350307594
AFW,2003,697.4812563370882
AFW,2004,838.2133916658516
AFW,2005,999.7700230473185
AFW,2006,1234.6418557440284
AFW,2007,1405.880188474094
AFW,2008,1666.5204827050097
AFW,2009,1453.4952836253
AFW,2010,1662.633658441471
AFW,2011,1844.0543672817716
AFW,2012,1941.1182432181197
AFW,2013,2131.606091328988
AFW,2014,2221.3503376101235
AFW,2015,1860.7276862832423
AFW,2016,1630.0394389525784
AFW,2017,1574.2305643785453
AFW,2018,1720.1400924272184
AFW,2019,2216.385055208329
AFW,2020,2030.86165860293
AFW,2021,2112.794076370788
AFW,2022,2138.4731525991306
AFW,2023,1841.855063548671
AFW,2024,1411.3370293847581
AGO,2000,563.733795571487
AGO,2001,533.5862024124473
AGO,2002,999.0658559137579
AGO,2003,1133.6633196060707
AGO,2004,1451.4711787249341
AGO,2005,2145.8862109632746
AGO,2006,2930.444286073203
AGO,2007,3515.0567898653467
AGO,2008,4578.155264515174
AGO,2009,3645.1484656297575
AGO,2010,4101.637155667117
AGO,2011,5184.152691499118
AGO,2012,5702.453062774339
AGO,2013,5688.57916215215
AGO,2014,5649.687624691393
AGO,2015,3641.7289391994404
AGO,2016,2051.8146212625306
AGO,2017,2790.718868697683
AGO,2018,2860.093648368199
AGO,2019,2493.678844401766
AGO,2020,1759.356199182642
AGO,2021,2303.908126627765
AGO,2022,3682.113151369797
AGO,2023,2916.136632842746
AGO,2024,2665.874447767527
ALB,2000,1160.4204705403845
ALB,2001,1326.4165238807702
ALB,2002,1479.8388457200615
ALB,2003,1908.6990068760756
ALB,2004,2446.9094994779816
ALB,2005,2741.721365495784
ALB,2006,3057.7725703811257
ALB,2007,3743.0552989618714
ALB,2008,4498.5048676360075
ALB,2009,4213.650075746932
ALB,2010,4149.14469936847
ALB,2011,4465.709143288648
ALB,2012,4280.933163388727
ALB,2013,4542.929035567388
ALB,2014,4793.597511315253
ALB,2015,4199.539129253976
ALB,2016,4457.634122074947
ALB,2017,5006.360129519591
ALB,2018,5897.654525887742
ALB,2019,6069.439031310275
ALB,2020,6027.913507163485
ALB,2021,7242.455131466127
ALB,2022,7756.961887442532
ALB,2023,9730.869219068934
ALB,2024,11377.775743109876
AND,2000,21810.250380866553
AND,2001,23511.29695008812
AND,2002,26528.13006282361
AND,2003,34063.575598394025
AND,2004,39021.1107100919
AND,2005,40829.81163995376
AND,2006,43467.196306306774
AND,2007,48336.25483049259
AND,2008,49132.49258400572
AND,2009,43975.00008881326
AND,2010,42746.83039156702
AND,2011,46657.14953848111
AND,2012,41500.54999882881
AND,2013,42470.32303693656
AND,2014,44369.67129767766
AND,2015,38654.952879160024
AND,2016,40129.83858114741
AND,2017,40672.9717424447
AND,2018,42819.757745613286
AND,2019,41257.81645934496
AND,2020,37361.10700816147
AND,2021,42425.70664543573
AND,2022,42414.04798612277
AND,2023,46812.426101310244
AND,2024,49303.64916743357
ARB,2000,2664.1252012264904
ARB,2001,2536.6923260073704
ARB,2002,2483.111874850289
ARB,2003,2696.6721254774943
ARB,2004,3133.7018787397496
ARB,2005,3750.69825886818
ARB,2006,4355.057569337239
ARB,2007,4940.7022651171965
ARB,2008,6091.932064456727
ARB,2009,5134.450060551588
ARB,2010,5944.952172904322
ARB,2011,6915.827681236946
ARB,2012,7384.106828146128
ARB,2013,7376.028295754977
ARB,2014,7338.350927279145
ARB,2015,6290.5587950169065
ARB,2016,6042.196754396716
ARB,2017,6096.72395041636
ARB,2018,6699.180581754573
ARB,2019,6674.342244026206
ARB,2020,5739.412835805392
ARB,2021,6697.41498492196
ARB,2022,7950.355819756721
ARB,2023,7513.899078807488
ARB,2024,7583.811700781444
ARE,2000,29865.502347066005
ARE,2001,27745.17080876723
ARE,2002,27753.60895263462
ARE,2003,29659.542856781132
ARE,2004,33376.715229520916
ARE,2005,38719.31383076232
ARE,2006,44342.604832248195
ARE,2007,45854.73251581623
ARE,2008,50054.170068180334
ARE,2009,37803.06637387768
ARE,2010,44795.29493022682
ARE,2011,51921.904511613
ARE,2012,53141.61243400989
ARE,2013,53247.24094954414
ARE,2014,52725.235840793444
ARE,2015,44910.33499552302
ARE,2016,42721.09993831847
