iso3,year,health_exp_pc
ABW,2000,NA
ABW,2001,NA
ABW,2002,NA
ABW,2003,NA
ABW,2004,NA
ABW,2005,NA
ABW,2006,NA
ABW,2007,NA
ABW,2008,NA
ABW,2009,NA
ABW,2010,NA
ABW,2011,NA
ABW,2012,NA
ABW,2013,NA
ABW,2014,NA
ABW,2015,NA
ABW,2016,NA
ABW,2017,NA
ABW,2018,NA
ABW,2019,NA
ABW,2020,NA
ABW,2021,NA
ABW,2022,NA
ABW,2023,NA
ABW,2024,NA
AFE,2000,42.76497362237393
AFE,2001,37.84518362660127
AFE,2002,35.026466820076905
AFE,2003,50.30851499810155
AFE,2004,61.88460717514852
AFE,2005,68.72590307017435
AFE,2006,75.1738953911871
AFE,2007,84.20363956576713
AFE,2008,86.60613295014304
AFE,2009,90.30513198426314
AFE,2010,104.35372365398241
AFE,2011,112.50023556963257
AFE,2012,109.27654986182299
AFE,2013,104.979280345368
AFE,2014,98.49273540145502
AFE,2015,90.79809233067961
AFE,2016,85.68745981263922
AFE,2017,89.86726048997079
AFE,2018,89.96936937361289
AFE,2019,87.03987731567592
AFE,2020,81.44614015948075
AFE,2021,92.3503331753643
AFE,2022,92.0352883967091
AFE,2023,88.48558529144995
AFE,2024,NA
AFG,2000,NA
AFG,2001,NA
AFG,2002,16.70697403
AFG,2003,17.74602509
AFG,2004,21.42300415
AFG,2005,25.11388779
AFG,2006,28.9412632
AFG,2007,32.70893097
AFG,2008,39.88624954
AFG,2009,43.13351822
AFG,2010,46.42438889
AFG,2011,52.18721771
AFG,2012,52.45247269
AFG,2013,56.16043472
AFG,2014,60.04951096
AFG,2015,59.91960526
AFG,2016,61.37234497
AFG,2017,66.82388306
AFG,2018,71.22509003
AFG,2019,74.0642395
AFG,2020,80.0892334
AFG,2021,81.52112579
AFG,2022,80.6516037
AFG,2023,59.06770706
AFG,2024,NA
AFW,2000,18.146916302715336
AFW,2001,18.71238121072394
AFW,2002,19.719471964837915
AFW,2003,31.626171367201874
AFW,2004,36.11329810632741
AFW,2005,41.82281390644285
AFW,2006,48.64826704797708
AFW,2007,52.77762009104631
AFW,2008,60.55427263030724
AFW,2009,55.503325674102754
AFW,2010,59.57979151254884
AFW,2011,65.36475037600981
AFW,2012,67.95899074530048
AFW,2013,75.49070815622188
AFW,2014,78.73660535774239
AFW,2015,70.70500188571432
AFW,2016,61.700242853363534
AFW,2017,58.50981704852717
AFW,2018,56.28604087361505
AFW,2019,59.26713425842115
AFW,2020,64.62418988456379
AFW,2021,72.6328495675799
AFW,2022,74.44125282360609
AFW,2023,65.88685419848245
AFW,2024,NA
AGO,2000,13.15998554
AGO,2001,29.26095772
AGO,2002,29.37077141
AGO,2003,35.2206955
AGO,2004,50.23310852
AGO,2005,54.66142273
AGO,2006,70.28185272
AGO,2007,93.42698669
AGO,2008,136.34094238
AGO,2009,120.5289917
AGO,2010,96.95197296
AGO,2011,122.11888123
AGO,2012,121.84848022
AGO,2013,142.78450012
AGO,2014,130.5861969
AGO,2015,107.52857208
AGO,2016,94.01481628
AGO,2017,112.75364685
AGO,2018,83.87555695
AGO,2019,64.4466095
AGO,2020,56.01641846
AGO,2021,66.94487
AGO,2022,103.94506073
AGO,2023,76.07118225
AGO,2024,NA
ALB,2000,65.47674561
ALB,2001,73.92171478
ALB,2002,78.72909546
ALB,2003,105.43667603
ALB,2004,136.50724792
ALB,2005,149.97515869
ALB,2006,164.22090149
