iso3,year,mcv1
AFG,2000,27
AFG,2001,37
AFG,2002,35
AFG,2003,39
AFG,2004,48
AFG,2005,50
AFG,2006,53
AFG,2007,55
AFG,2008,59
AFG,2009,60
AFG,2010,62
AFG,2011,64
AFG,2012,59
AFG,2013,57
AFG,2014,60
AFG,2015,62
AFG,2016,64
AFG,2017,64
AFG,2018,66
AFG,2019,57
AFG,2020,57
AFG,2021,51
AFG,2022,56
AFG,2023,55
AFG,2024,55
AGO,2000,41
AGO,2001,72
AGO,2002,74
AGO,2003,62
AGO,2004,64
AGO,2005,45
AGO,2006,48
AGO,2007,58
AGO,2008,58
AGO,2009,58
AGO,2010,59
AGO,2011,59
AGO,2012,59
AGO,2013,59
AGO,2014,56
AGO,2015,52
AGO,2016,49
AGO,2017,47
AGO,2018,56
AGO,2019,59
AGO,2020,54
AGO,2021,48
AGO,2022,50
AGO,2023,63
AGO,2024,53
ALB,2000,95
ALB,2001,95
ALB,2002,96
ALB,2003,93
ALB,2004,96
ALB,2005,97
ALB,2006,95
ALB,2007,97
ALB,2008,98
ALB,2009,97
ALB,2010,99
ALB,2011,99
ALB,2012,98
ALB,2013,99
ALB,2014,98
ALB,2015,97
ALB,2016,96
ALB,2017,96
ALB,2018,94
ALB,2019,95
ALB,2020,91
ALB,2021,87
ALB,2022,86
ALB,2023,83
ALB,2024,81
AND,2000,97
AND,2001,97
AND,2002,98
AND,2003,96
AND,2004,98
AND,2005,94
AND,2006,91
AND,2007,94
AND,2008,98
AND,2009,98
AND,2010,99
AND,2011,99
AND,2012,98
AND,2013,95
AND,2014,96
AND,2015,96
AND,2016,97
AND,2017,99
AND,2018,99
AND,2019,99
AND,2020,98
AND,2021,99
AND,2022,98
AND,2023,99
AND,2024,98
ARE,2000,94
ARE,2001,94
ARE,2002,94
ARE,2003,94
ARE,2004,94
ARE,2005,92
ARE,2006,92
ARE,2007,92
ARE,2008,92
ARE,2009,93
ARE,2010,94
ARE,2011,95
ARE,2012,96
ARE,2013,98
ARE,2014,99
ARE,2015,99
ARE,2016,99
ARE,2017,99
ARE,2018,99
ARE,2019,99
ARE,2020,99
ARE,2021,99
ARE,2022,98
ARE,2023,98
ARE,2024,98
ARG,2000,91
ARG,2001,89
ARG,2002,95
ARG,2003,97
ARG,2004,99
ARG,2005,98
ARG,2006,97
ARG,2007,94
ARG,2008,96
ARG,2009,96
ARG,2010,95
ARG,2011,95
ARG,2012,94
ARG,2013,94
ARG,2014,95
ARG,2015,89
ARG,2016,90
ARG,2017,90
ARG,2018,94
ARG,2019,86
ARG,2020,77
ARG,2021,86
ARG,2022,85
ARG,2023,80
ARG,2024,82
ARM,2000,92
ARM,2001,93
ARM,2002,91
ARM,2003,94
ARM,2004,92
ARM,2005,94
ARM,2006,92
ARM,2007,92
ARM,2008,94
ARM,2009,96
ARM,2010,97
ARM,2011,97
ARM,2012,97
ARM,2013,97
ARM,2014,97
ARM,2015,97
ARM,2016,97
ARM,2017,96
ARM,2018,95
ARM,2019,95
ARM,2020,94
ARM,2021,94
ARM,2022,95
ARM,2023,96
ARM,2024,96
ATG,2000,95
ATG,2001,97
ATG,2002,99
ATG,2003,99
ATG,2004,97
ATG,2005,99
ATG,2006,99
ATG,2007,99
ATG,2008,99
ATG,2009,99
ATG,2010,98
ATG,2011,99
ATG,2012,98
ATG,2013,96
ATG,2014,93
ATG,2015,91
ATG,2016,88
ATG,2017,99
ATG,2018,96
ATG,2019,97
ATG,2020,89
ATG,2021,85
ATG,2022,99
ATG,2023,94
ATG,2024,97
AUS,2000,91
AUS,2001,92
AUS,2002,94
AUS,2003,94
AUS,2004,94
AUS,2005,94
AUS,2006,94
AUS,2007,94
