iso3,year,physicians_per_1000
ABW,2000,NA
ABW,2001,NA
ABW,2002,NA
ABW,2003,NA
ABW,2004,NA
ABW,2005,NA
ABW,2006,NA
ABW,2007,NA
ABW,2008,NA
ABW,2009,NA
ABW,2010,NA
ABW,2011,NA
ABW,2012,NA
ABW,2013,NA
ABW,2014,NA
ABW,2015,NA
ABW,2016,NA
ABW,2017,NA
ABW,2018,NA
ABW,2019,NA
ABW,2020,NA
ABW,2021,NA
ABW,2022,NA
ABW,2023,NA
ABW,2024,NA
AFE,2000,NA
AFE,2001,NA
AFE,2002,NA
AFE,2003,NA
AFE,2004,NA
AFE,2005,NA
AFE,2006,NA
AFE,2007,NA
AFE,2008,NA
AFE,2009,NA
AFE,2010,0.16446678002695464
AFE,2011,NA
AFE,2012,NA
AFE,2013,NA
AFE,2014,NA
AFE,2015,NA
AFE,2016,NA
AFE,2017,NA
AFE,2018,NA
AFE,2019,NA
AFE,2020,NA
AFE,2021,NA
AFE,2022,0.24338494643989386
AFE,2023,NA
AFE,2024,NA
AFG,2000,NA
AFG,2001,0.202
AFG,2002,NA
AFG,2003,NA
AFG,2004,NA
AFG,2005,NA
AFG,2006,0.166
AFG,2007,0.182
AFG,2008,0.183
AFG,2009,0.22
AFG,2010,0.244
AFG,2011,0.258
AFG,2012,0.246
AFG,2013,0.29
AFG,2014,0.304
AFG,2015,0.29
AFG,2016,0.284
AFG,2017,0.245
AFG,2018,0.303
AFG,2019,0.214
AFG,2020,0.253
AFG,2021,NA
AFG,2022,NA
AFG,2023,0.317
AFG,2024,NA
AFW,2000,0.1927505607044675
AFW,2001,NA
AFW,2002,NA
AFW,2003,NA
AFW,2004,NA
AFW,2005,NA
AFW,2006,NA
AFW,2007,NA
AFW,2008,NA
AFW,2009,NA
AFW,2010,0.2103655970836937
AFW,2011,NA
AFW,2012,NA
AFW,2013,NA
AFW,2014,NA
AFW,2015,NA
AFW,2016,NA
AFW,2017,NA
AFW,2018,NA
AFW,2019,NA
AFW,2020,NA
AFW,2021,NA
AFW,2022,0.2586355941984673
AFW,2023,NA
AFW,2024,NA
AGO,2000,NA
AGO,2001,NA
AGO,2002,NA
AGO,2003,NA
AGO,2004,0.063
AGO,2005,NA
AGO,2006,NA
AGO,2007,NA
AGO,2008,NA
AGO,2009,0.132
AGO,2010,NA
AGO,2011,NA
AGO,2012,NA
AGO,2013,NA
AGO,2014,NA
AGO,2015,NA
AGO,2016,NA
AGO,2017,0.212
AGO,2018,0.211
AGO,2019,NA
AGO,2020,NA
AGO,2021,NA
AGO,2022,0.244
AGO,2023,NA
AGO,2024,NA
ALB,2000,1.366
ALB,2001,1.303
ALB,2002,1.167
ALB,2003,1.186
ALB,2004,1.194
ALB,2005,NA
ALB,2006,1.189
ALB,2007,1.2
ALB,2008,NA
ALB,2009,1.235
ALB,2010,1.243
ALB,2011,1.229
ALB,2012,1.27
ALB,2013,1.276
ALB,2014,NA
ALB,2015,NA
ALB,2016,1.212
ALB,2017,NA
ALB,2018,NA
ALB,2019,1.645
ALB,2020,1.879
ALB,2021,NA
ALB,2022,NA
ALB,2023,NA
ALB,2024,NA
AND,2000,2.557
AND,2001,2.656
AND,2002,3.053
AND,2003,3.511
AND,2004,3.217
AND,2005,3.295
AND,2006,3.065
AND,2007,3.04
AND,2008,NA
AND,2009,3.17
AND,2010,2.949
AND,2011,3.136
AND,2012,3.112
AND,2013,3.165
AND,2014,3.297
