iso3,year,pol3
AFG,2000,24
AFG,2001,35
AFG,2002,36
AFG,2003,41
AFG,2004,50
AFG,2005,58
AFG,2006,58
AFG,2007,63
AFG,2008,64
AFG,2009,63
AFG,2010,66
AFG,2011,68
AFG,2012,67
AFG,2013,64
AFG,2014,63
AFG,2015,65
AFG,2016,66
AFG,2017,64
AFG,2018,67
AFG,2019,63
AFG,2020,61
AFG,2021,55
AFG,2022,60
AFG,2023,59
AFG,2024,59
AGO,2000,21
AGO,2001,28
AGO,2002,22
AGO,2003,21
AGO,2004,18
AGO,2005,14
AGO,2006,8
AGO,2007,43
AGO,2008,44
AGO,2009,44
AGO,2010,45
AGO,2011,45
AGO,2012,47
AGO,2013,46
AGO,2014,55
AGO,2015,57
AGO,2016,56
AGO,2017,52
AGO,2018,64
AGO,2019,61
AGO,2020,59
AGO,2021,53
AGO,2022,54
AGO,2023,73
AGO,2024,56
ALB,2000,97
ALB,2001,97
ALB,2002,98
ALB,2003,97
ALB,2004,98
ALB,2005,97
ALB,2006,97
ALB,2007,99
ALB,2008,99
ALB,2009,98
ALB,2010,99
ALB,2011,99
ALB,2012,99
ALB,2013,99
ALB,2014,98
ALB,2015,99
ALB,2016,98
ALB,2017,99
ALB,2018,99
ALB,2019,99
ALB,2020,98
ALB,2021,98
ALB,2022,98
ALB,2023,97
ALB,2024,97
AND,2000,95
AND,2001,95
AND,2002,95
AND,2003,99
AND,2004,99
AND,2005,98
AND,2006,93
AND,2007,96
AND,2008,99
AND,2009,99
AND,2010,99
AND,2011,99
AND,2012,99
AND,2013,97
AND,2014,97
AND,2015,97
AND,2016,98
AND,2017,99
AND,2018,99
AND,2019,99
AND,2020,99
AND,2021,98
AND,2022,97
AND,2023,98
AND,2024,98
ARE,2000,94
ARE,2001,94
ARE,2002,94
ARE,2003,94
ARE,2004,94
ARE,2005,94
ARE,2006,94
ARE,2007,94
ARE,2008,94
ARE,2009,94
ARE,2010,94
ARE,2011,95
ARE,2012,96
ARE,2013,98
ARE,2014,99
ARE,2015,99
ARE,2016,99
ARE,2017,96
ARE,2018,99
ARE,2019,95
ARE,2020,80
ARE,2021,96
ARE,2022,95
ARE,2023,96
ARE,2024,95
ARG,2000,88
ARG,2001,85
ARG,2002,94
ARG,2003,95
ARG,2004,91
ARG,2005,95
ARG,2006,92
ARG,2007,92
ARG,2008,94
ARG,2009,97
ARG,2010,95
ARG,2011,93
ARG,2012,90
ARG,2013,90
ARG,2014,92
ARG,2015,93
ARG,2016,87
ARG,2017,85
ARG,2018,84
ARG,2019,83
ARG,2020,74
ARG,2021,79
ARG,2022,84
ARG,2023,71
ARG,2024,74
ARM,2000,96
ARM,2001,97
ARM,2002,96
ARM,2003,96
ARM,2004,93
ARM,2005,92
ARM,2006,87
ARM,2007,90
ARM,2008,91
ARM,2009,94
ARM,2010,96
ARM,2011,96
ARM,2012,96
ARM,2013,96
ARM,2014,95
ARM,2015,96
ARM,2016,96
ARM,2017,96
ARM,2018,92
ARM,2019,94
ARM,2020,86
ARM,2021,93
ARM,2022,93
ARM,2023,94
ARM,2024,94
ATG,2000,96
ATG,2001,99
ATG,2002,93
ATG,2003,99
ATG,2004,97
ATG,2005,98
ATG,2006,99
ATG,2007,98
ATG,2008,99
ATG,2009,98
ATG,2010,99
ATG,2011,99
ATG,2012,97
ATG,2013,98
ATG,2014,96
ATG,2015,86
ATG,2016,87
ATG,2017,94
ATG,2018,94
ATG,2019,97
ATG,2020,95
ATG,2021,92
ATG,2022,99
ATG,2023,98
ATG,2024,99
AUS,2000,90
AUS,2001,91
AUS,2002,92
AUS,2003,92
AUS,2004,92
AUS,2005,92
