iso3,year,u5mr
ABW,2000,NA
ABW,2001,NA
ABW,2002,NA
ABW,2003,NA
ABW,2004,NA
ABW,2005,NA
ABW,2006,NA
ABW,2007,NA
ABW,2008,NA
ABW,2009,NA
ABW,2010,NA
ABW,2011,NA
ABW,2012,NA
ABW,2013,NA
ABW,2014,NA
ABW,2015,NA
ABW,2016,NA
ABW,2017,NA
ABW,2018,NA
ABW,2019,NA
ABW,2020,NA
ABW,2021,NA
ABW,2022,NA
ABW,2023,NA
ABW,2024,NA
AFE,2000,138.90554204727565
AFE,2001,135.62599409686297
AFE,2002,127.20582541952668
AFE,2003,121.16260786406839
AFE,2004,116.02911919795733
AFE,2005,106.32460818128544
AFE,2006,99.9110205751859
AFE,2007,94.69534900648324
AFE,2008,89.60620415092176
AFE,2009,85.09217904281662
AFE,2010,81.92932176582416
AFE,2011,83.5500388786075
AFE,2012,75.18098551139813
AFE,2013,71.37188339658589
AFE,2014,70.80755440594487
AFE,2015,69.72576411133967
AFE,2016,68.36302856444922
AFE,2017,67.73779962236081
AFE,2018,63.42294710712327
AFE,2019,61.491635749926054
AFE,2020,60.62281056031255
AFE,2021,63.105475457299534
AFE,2022,63.20678831455255
AFE,2023,59.37564887098708
AFE,2024,57.246882477874465
AFG,2000,131.7
AFG,2001,127.5
AFG,2002,123.1
AFG,2003,118.5
AFG,2004,113.9
AFG,2005,109.3
AFG,2006,104.8
AFG,2007,100.4
AFG,2008,96.1
AFG,2009,91.9
AFG,2010,88
AFG,2011,84.3
AFG,2012,80.8
AFG,2013,77.6
AFG,2014,74.6
AFG,2015,71.9
AFG,2016,69.4
AFG,2017,67.1
AFG,2018,64.8
AFG,2019,62.7
AFG,2020,60.7
AFG,2021,58.7
AFG,2022,56.8
AFG,2023,54.9
AFG,2024,53
AFW,2000,166.59718152261135
AFW,2001,160.78131902722646
AFW,2002,154.90808166528947
AFW,2003,149.03874453149066
AFW,2004,143.42708787478875
AFW,2005,138.0552916952041
AFW,2006,133.16726008558285
AFW,2007,128.6498512372911
AFW,2008,124.41147139787292
AFW,2009,125.44548844460333
AFW,2010,117.47601419550828
AFW,2011,114.06774513160781
AFW,2012,111.21404904192084
AFW,2013,108.91349876534741
AFW,2014,107.62097561479779
AFW,2015,104.79258399692343
AFW,2016,103.1451353529803
AFW,2017,102.05803690266968
AFW,2018,100.21841529156202
AFW,2019,100.83605078810504
AFW,2020,97.61331231850475
AFW,2021,97.2224382375747
AFW,2022,99.28329769339837
AFW,2023,93.13846250379461
AFW,2024,91.26900634092068
AGO,2000,185
AGO,2001,176.3
AGO,2002,166.4
AGO,2003,155.5
AGO,2004,143.7
AGO,2005,131.5
AGO,2006,119.8
AGO,2007,109
AGO,2008,99.2
AGO,2009,90.7
AGO,2010,83.4
AGO,2011,77.2
AGO,2012,72
AGO,2013,67.9
AGO,2014,64.5
AGO,2015,61.8
AGO,2016,59.6
AGO,2017,57.9
AGO,2018,56.5
AGO,2019,55.3
AGO,2020,54.2
AGO,2021,53.2
AGO,2022,51.9
AGO,2023,50.5
AGO,2024,49
ALB,2000,27
ALB,2001,25.6
ALB,2002,24.3
ALB,2003,22.9
ALB,2004,21.4
ALB,2005,20
ALB,2006,18.5
ALB,2007,17.1
ALB,2008,15.8
ALB,2009,14.5
ALB,2010,13.3
ALB,2011,12.2
ALB,2012,11.2
ALB,2013,10.5
ALB,2014,9.9
ALB,2015,9.6
ALB,2016,9.4
