iso3,year,u5mr,dtp3,mcv1,pol3,gdp_pc,health_exp_pc,fertility,female_secondary_enrollment,basic_water,basic_sanitation,physicians_per_1000
AGO,2000,185,31,41,21,563.733795571487,13.15998554,6.639,12.1040000915527,37.8422368865436,33.8004076625916,NA
AGO,2001,176.3,42,72,28,533.5862024124473,29.26095772,6.601,13.2332096099853,38.3388157469695,34.2558546036306,NA
AGO,2002,166.4,47,74,22,999.065855913758,29.37077141,6.567,14.7315998077393,38.8353924997189,34.7112995930867,NA
AGO,2003,155.5,46,62,21,1133.663319606071,35.2206955,6.533,NA,40.3965157225134,35.7566857674784,NA
AGO,2004,143.7,47,64,18,1451.471178724934,50.23310852,6.499,NA,41.9772367862102,36.8026608112345,0.063
AGO,2005,131.5,47,45,14,2145.8862109632746,54.66142273,6.461,NA,43.5743439976406,37.8465318357126,NA
AGO,2006,119.8,44,48,8,2930.444286073203,70.28185272,6.419,NA,45.0139996038983,38.7338819151989,NA
AGO,2007,109,43,58,43,3515.0567898653467,93.42698669,6.372,NA,46.4686546771725,39.6205689404056,NA
AGO,2008,99.2,45,58,44,4578.155264515174,136.34094238,6.32,19.9174499511719,47.9390179800655,40.5073529931406,NA
AGO,2009,90.7,47,58,44,3645.1484656297575,120.5289917,6.26,21.1587905883789,49.4231763682417,41.3926874563562,0.132
AGO,2010,83.4,49,59,45,4101.637155667117,96.95197296,6.194,22.98756980896,50.922281472487,42.2777189153195,NA
AGO,2011,77.2,50,59,45,5184.152691499118,122.11888123,6.12,22.3924407958984,52.4357414255652,43.1620627220945,NA
AGO,2012,72,52,59,47,5702.453062774339,121.84848022,6.039,NA,53.962934811933,44.0453181222275,NA
AGO,2013,67.9,54,59,46,5688.57916215215,142.78450012,5.953,NA,55.5032279600653,44.9270819739207,NA
AGO,2014,64.5,55,56,55,5649.687624691393,130.5861969,5.864,NA,57.0569115656449,45.8077399649675,NA
AGO,2015,61.8,57,52,57,3641.72893919944,107.52857208,5.774,NA,58.6196312007677,46.6837650963553,NA
AGO,2016,59.6,59,49,56,2051.81462126253,94.01481628,5.686,42.9851256990708,60.1920620185519,47.555908833618,NA
AGO,2017,57.9,58,47,52,2790.718868697683,112.75364685,5.6,NA,61.7735122104541,48.4237656848917,0.212
AGO,2018,56.5,67,56,64,2860.093648368199,83.87555695,5.519,NA,63.3627907388021,49.2865229934191,0.211
AGO,2019,55.3,64,59,61,2493.678844401766,64.4466095,5.442,NA,64.1599110373067,49.5470237290202,NA
AGO,2020,54.2,59,54,59,1759.356199182642,56.01641846,5.371,NA,64.9440305436538,49.8016376564917,NA
AGO,2021,53.2,55,48,53,2303.908126627765,66.94487,5.304,49.4286274279557,65.716257719435,50.0511353702384,NA
AGO,2022,51.9,54,50,54,3682.113151369797,103.94506073,5.209,NA,66.47632731978,50.2951359158799,0.244
AGO,2023,50.5,66,63,73,2916.136632842746,76.07118225,5.124,48.1175394651696,67.2244252588497,NA,NA
AGO,2024,49,64,53,56,2665.874447767527,NA,5.048,NA,67.9607422242112,NA,NA
BDI,2000,152.4,80,72,72,134.53786175238898,5.67927122,6.872,NA,49.9050035081871,45.8832028889367,0.052
