"part","term","statistic","Lagged adjusted","Lagged FE"
"estimates","(Intercept)","estimate","179.181**",""
"estimates","(Intercept)","conf.int","[74.124, 284.237]",""
"estimates","dtp3","estimate","-0.989***","-0.280*"
"estimates","dtp3","conf.int","[-1.327, -0.651]","[-0.524, -0.035]"
"estimates","log_gdp_pc","estimate","-16.407**","5.467"
"estimates","log_gdp_pc","conf.int","[-28.672, -4.142]","[-2.311, 13.246]"
"estimates","log_health_exp_pc","estimate","10.288+","-4.987"
"estimates","log_health_exp_pc","conf.int","[-1.947, 22.523]","[-12.178, 2.205]"
"estimates","fertility","estimate","12.369**","15.171**"
"estimates","fertility","conf.int","[4.392, 20.346]","[6.375, 23.966]"
"estimates","basic_water","estimate","-0.029","-0.947**"
"estimates","basic_water","conf.int","[-0.588, 0.530]","[-1.620, -0.275]"
"estimates","basic_sanitation","estimate","-0.073","0.070"
"estimates","basic_sanitation","conf.int","[-0.338, 0.191]","[-0.536, 0.677]"
"gof","Num.Obs.","","1060","1060"
"gof","R2","","0.621","0.861"
"gof","RMSE","","26.87","16.25"
"gof","FE: iso3","","","X"
"gof","FE: year","","","X"
