"part","term","statistic","Main adjusted","Main FE","Restricted adjusted","Restricted FE"
"estimates","(Intercept)","estimate","177.870**","","171.691**",""
"estimates","(Intercept)","conf.int","[75.142, 280.599]","","[56.871, 286.511]",""
"estimates","dtp3","estimate","-0.969***","-0.283*","-0.988***","-0.272+"
"estimates","dtp3","conf.int","[-1.301, -0.636]","[-0.563, -0.002]","[-1.338, -0.638]","[-0.577, 0.032]"
"estimates","log_gdp_pc","estimate","-16.540**","6.168","-15.553*","6.242"
"estimates","log_gdp_pc","conf.int","[-28.745, -4.336]","[-1.653, 13.989]","[-29.998, -1.107]","[-1.769, 14.253]"
"estimates","log_health_exp_pc","estimate","10.329+","-5.980+","8.832","-6.310"
"estimates","log_health_exp_pc","conf.int","[-1.865, 22.522]","[-13.087, 1.127]","[-8.495, 26.158]","[-13.930, 1.310]"
"estimates","fertility","estimate","13.403**","17.174***","14.476**","14.213*"
"estimates","fertility","conf.int","[5.491, 21.315]","[7.875, 26.473]","[6.032, 22.920]","[2.737, 25.689]"
"estimates","basic_water","estimate","-0.062","-0.938**","0.010","-0.849*"
"estimates","basic_water","conf.int","[-0.619, 0.495]","[-1.605, -0.271]","[-0.579, 0.598]","[-1.579, -0.118]"
"estimates","basic_sanitation","estimate","-0.063","0.085","-0.194","0.149"
"estimates","basic_sanitation","conf.int","[-0.331, 0.204]","[-0.545, 0.714]","[-0.554, 0.166]","[-0.523, 0.821]"
"gof","Num.Obs.","","1108","1108","964","964"
"gof","R2","","0.629","0.867","0.573","0.845"
"gof","RMSE","","27.31","16.36","28.42","17.14"
"gof","FE: iso3","","","X","","X"
"gof","FE: year","","","X","","X"
