"part","term","statistic","DTP3 FE","MCV1 FE","Pol3 FE"
"estimates","dtp3","estimate","-0.283*","",""
"estimates","dtp3","conf.int","[-0.563, -0.002]","",""
"estimates","log_gdp_pc","estimate","6.168","6.505+","5.911"
"estimates","log_gdp_pc","conf.int","[-1.653, 13.989]","[-1.051, 14.061]","[-1.901, 13.723]"
"estimates","log_health_exp_pc","estimate","-5.980+","-6.565+","-6.147+"
"estimates","log_health_exp_pc","conf.int","[-13.087, 1.127]","[-13.246, 0.116]","[-13.192, 0.898]"
"estimates","fertility","estimate","17.174***","18.241***","17.676***"
"estimates","fertility","conf.int","[7.875, 26.473]","[9.143, 27.338]","[8.421, 26.930]"
"estimates","basic_water","estimate","-0.938**","-1.002**","-0.952**"
"estimates","basic_water","conf.int","[-1.605, -0.271]","[-1.703, -0.301]","[-1.620, -0.285]"
"estimates","basic_sanitation","estimate","0.085","0.158","0.093"
"estimates","basic_sanitation","conf.int","[-0.545, 0.714]","[-0.477, 0.792]","[-0.537, 0.722]"
"estimates","mcv1","estimate","","-0.133",""
"estimates","mcv1","conf.int","","[-0.384, 0.118]",""
"estimates","pol3","estimate","","","-0.240*"
"estimates","pol3","conf.int","","","[-0.469, -0.010]"
"gof","Num.Obs.","","1108","1108","1108"
"gof","R2","","0.867","0.865","0.867"
"gof","RMSE","","16.36","16.45","16.38"
"gof","FE: iso3","","X","X","X"
"gof","FE: year","","X","X","X"
