"part","term","statistic","DTP3 model","MCV1 model","Pol3 model"
"estimates","(Intercept)","estimate","177.870**","153.481**","168.692***"
"estimates","(Intercept)","conf.int","[75.142, 280.599]","[51.019, 255.943]","[73.531, 263.853]"
"estimates","dtp3","estimate","-0.969***","",""
"estimates","dtp3","conf.int","[-1.301, -0.636]","",""
"estimates","log_gdp_pc","estimate","-16.540**","-14.546*","-15.609*"
"estimates","log_gdp_pc","conf.int","[-28.745, -4.336]","[-26.907, -2.184]","[-28.995, -2.223]"
"estimates","log_health_exp_pc","estimate","10.329+","9.335","9.157"
"estimates","log_health_exp_pc","conf.int","[-1.865, 22.522]","[-3.177, 21.848]","[-3.636, 21.950]"
"estimates","fertility","estimate","13.403**","14.892***","13.895***"
"estimates","fertility","conf.int","[5.491, 21.315]","[7.053, 22.731]","[6.571, 21.220]"
"estimates","basic_water","estimate","-0.062","-0.182","-0.091"
"estimates","basic_water","conf.int","[-0.619, 0.495]","[-0.756, 0.392]","[-0.644, 0.462]"
"estimates","basic_sanitation","estimate","-0.063","-0.005","-0.059"
"estimates","basic_sanitation","conf.int","[-0.331, 0.204]","[-0.293, 0.284]","[-0.353, 0.235]"
"estimates","mcv1","estimate","","-0.829***",""
"estimates","mcv1","conf.int","","[-1.182, -0.475]",""
"estimates","pol3","estimate","","","-0.888***"
"estimates","pol3","conf.int","","","[-1.216, -0.560]"
"gof","Num.Obs.","","1108","1108","1108"
"gof","R2","","0.629","0.602","0.612"
"gof","RMSE","","27.31","28.28","27.91"
