"part","term","statistic","Unadjusted","Adjusted","Multiple antigens","Country FE","Country + year FE"
"estimates","(Intercept)","estimate","207.470***","177.870**","170.251**","",""
"estimates","(Intercept)","conf.int","[179.340, 235.600]","[75.142, 280.599]","[70.847, 269.656]","",""
"estimates","dtp3","estimate","-1.585***","-0.969***","-1.409**","-0.457***","-0.283*"
"estimates","dtp3","conf.int","[-1.927, -1.243]","[-1.301, -0.636]","[-2.280, -0.538]","[-0.715, -0.199]","[-0.563, -0.002]"
"estimates","log_gdp_pc","estimate","","-16.540**","-15.859*","-3.127","6.168"
"estimates","log_gdp_pc","conf.int","","[-28.745, -4.336]","[-27.827, -3.891]","[-10.410, 4.156]","[-1.653, 13.989]"
"estimates","log_health_exp_pc","estimate","","10.329+","9.808","-10.818**","-5.980+"
"estimates","log_health_exp_pc","conf.int","","[-1.865, 22.522]","[-1.997, 21.613]","[-18.713, -2.923]","[-13.087, 1.127]"
"estimates","fertility","estimate","","13.403**","13.553***","16.514***","17.174***"
"estimates","fertility","conf.int","","[5.491, 21.315]","[5.821, 21.286]","[8.800, 24.227]","[7.875, 26.473]"
"estimates","basic_water","estimate","","-0.062","-0.027","-1.038**","-0.938**"
"estimates","basic_water","conf.int","","[-0.619, 0.495]","[-0.590, 0.535]","[-1.698, -0.377]","[-1.605, -0.271]"
"estimates","basic_sanitation","estimate","","-0.063","-0.102","-0.241","0.085"
"estimates","basic_sanitation","conf.int","","[-0.331, 0.204]","[-0.378, 0.175]","[-0.838, 0.355]","[-0.545, 0.714]"
"estimates","mcv1","estimate","","","0.363","",""
"estimates","mcv1","conf.int","","","[-0.231, 0.958]","",""
"estimates","pol3","estimate","","","0.133","",""
"estimates","pol3","conf.int","","","[-0.548, 0.815]","",""
"gof","Num.Obs.","","1108","1108","1108","1108","1108"
"gof","R2","","0.395","0.629","0.631","0.855","0.867"
"gof","RMSE","","34.86","27.31","27.22","17.09","16.36"
"gof","FE: iso3","","","","","X","X"
"gof","FE: year","","","","","","X"
