year,mean_u5mr,median_u5mr,mean_dtp3,mean_mcv1,mean_pol3
2000,131.02448979591836,135,61.916666666666664,61,62.4375
2001,127.91020408163266,131.7,63.333333333333336,62.416666666666664,63.625
2002,121.2408163265306,127.4,66.04166666666667,65.22916666666667,67.625
2003,116.2734693877551,121,68.91666666666667,68.125,69.91666666666667
2004,111.66938775510204,114.2,70.3125,69.6875,70.97916666666667
2005,106.32857142857144,106.5,73.16666666666667,70.77083333333333,73.3125
2006,101.22448979591837,99.3,74.52083333333333,72.08333333333333,74.08333333333333
2007,96.85510204081632,96.5,76.9375,73.4375,76.6875
2008,92.78367346938775,91.1,77.875,74.25,78.16666666666667
2009,95.92244897959183,87.1,78.97916666666667,76.4375,79
2010,85.85510204081632,82.1,79.10416666666667,77.5,78.77083333333333
2011,85.52244897959184,74,79.51020408163265,77.63265306122449,78.53061224489795
2012,78.87755102040816,69.3,80.06122448979592,78.65306122448979,79.65306122448979
2013,75.65714285714286,67.3,79.12244897959184,77.55102040816327,78.36734693877551
2014,76.35102040816327,65.4,79.38775510204081,76.89795918367346,78.73469387755102
2015,74.03673469387755,63.5,78.71428571428571,76.89795918367346,78.42857142857143
2016,72.7204081632653,61.3,79.22448979591837,76.42857142857143,78.51020408163265
2017,72.5265306122449,58.4,79.81632653061224,76.22448979591837,78.9795918367347
2018,66.57551020408164,56.5,80.75510204081633,77.3061224489796,79.38775510204081
2019,66.98571428571428,56.1,81.04081632653062,77.24489795918367,79.87755102040816
2020,62.77142857142857,54.3,78.55102040816327,74.71428571428571,77.38775510204081
2021,62.79795918367347,53.2,78.34693877551021,73.9795918367347,75.81632653061224
2022,67.13877551020408,51.9,79.08163265306122,74.42857142857143,75.95918367346938
2023,58.23673469387755,50.5,80.0204081632653,76.10204081632654,78.6734693877551
2024,56.61020408163265,48.9,79.04081632653062,76.22448979591837,77.61224489795919
