year,mean_u5mr,median_u5mr,mean_dtp3,mean_mcv1,mean_pol3,mean_gdp_pc,mean_health_exp_pc,mean_fertility,mean_basic_water,mean_basic_sanitation
2000,131.02448979591836,135,61.916666666666664,61,62.4375,947.1332045769274,45.453938307826085,5.439473469387755,55.14162952682805,26.01216360584485
2001,127.91020408163266,131.7,63.333333333333336,62.416666666666664,63.625,927.7048908078139,44.48887389630435,5.376551224489796,55.7657781969071,26.561615891755658
2002,121.2408163265306,127.4,66.04166666666667,65.22916666666667,67.625,974.9376124602501,46.29207429673913,5.32393612244898,56.43213287843164,27.171253430082405
2003,116.2734693877551,121,68.91666666666667,68.125,69.91666666666667,1162.866561732886,59.72610254847826,5.270060428571429,57.11957615232126,27.80426198222829
2004,111.66938775510204,114.2,70.3125,69.6875,70.97916666666667,1403.006360596259,70.57262719152173,5.2231368775510205,57.818157956313925,28.448070658990513
2005,106.32857142857144,106.5,73.16666666666667,70.77083333333333,73.3125,1627.6582205505083,75.99189028434782,5.1873025102040815,58.5470285237197,29.2236410213532
2006,101.22448979591837,99.3,74.52083333333333,72.08333333333333,74.08333333333333,1790.206630153042,81.96756642804348,5.141534714285714,59.291230719949475,30.00825323990951
2007,96.85510204081632,96.5,76.9375,73.4375,76.6875,2007.8441042843929,89.98463686652174,5.0975918367346935,60.006560262731064,30.781933980196253
2008,92.78367346938775,91.1,77.875,74.25,78.16666666666667,2266.850570091515,96.17849412152174,5.054187693877551,60.77472093584008,31.595702155247096
2009,95.92244897959183,87.1,78.97916666666667,76.4375,79,2009.1700288856828,96.10113552369566,5.003066857142857,61.53685109902533,32.412743381314286
2010,85.85510204081632,82.1,79.10416666666667,77.5,78.77083333333333,2235.156645272971,107.63305826446809,4.945190285714285,62.298351269633365,33.234369007593344
2011,85.52244897959184,74,79.51020408163265,77.63265306122449,78.53061224489795,2549.4544883312487,118.41583365617021,4.890617020408163,62.60220841431081,33.506437740354826
2012,78.87755102040816,69.3,80.06122448979592,78.65306122448979,79.65306122448979,2571.066570241047,119.32772599872341,4.822914061224489,63.33997233715056,34.32071071082795
2013,75.65714285714286,67.3,79.12244897959184,77.55102040816327,78.36734693877551,2661.736953361726,120.75592949,4.745808408163265,64.07084020737034,35.136172913914386
2014,76.35102040816327,65.4,79.38775510204081,76.89795918367346,78.73469387755102,2668.5718340843428,121.22873944020833,4.666522489795918,64.78872199933478,35.94589889341696
2015,74.03673469387755,63.5,78.71428571428571,76.89795918367346,78.42857142857143,2263.8742285233125,110.328727185625,4.59044012244898,65.49266094593692,36.761550643494445
2016,72.7204081632653,61.3,79.22448979591837,76.42857142857143,78.51020408163265,2223.1047694620534,109.49443451520834,4.517855959183674,66.19853562405808,37.58280697356972
2017,72.5265306122449,58.4,79.81632653061224,76.22448979591837,78.9795918367347,2430.762418195584,113.61811435530612,4.44133124489796,67.20907255567937,38.95884353911698
2018,66.57551020408164,56.5,80.75510204081633,77.3061224489796,79.38775510204081,2554.0310429288556,117.3673075855102,4.3590218775510206,67.96755502744993,39.22564735146129
2019,66.98571428571428,56.1,81.04081632653062,77.24489795918367,79.87755102040816,2520.571503474996,117.2774842712245,4.27923281632653,68.66701696112176,40.067645101969035
2020,62.77142857142857,54.3,78.55102040816327,74.71428571428571,77.38775510204081,2196.219529520361,113.09253404591837,4.203761469387755,69.33633430623024,40.88305520148549
2021,62.79795918367347,53.2,78.34693877551021,73.9795918367347,75.81632653061224,2469.9474139016293,125.36193532346938,4.14011981632653,70.00376636045908,41.71333186077973
2022,67.13877551020408,51.9,79.08163265306122,74.42857142857143,75.95918367346938,2611.8854508453937,126.32225505612244,4.069391489795918,70.61789153564,42.96033164316232
2023,58.23673469387755,50.5,80.0204081632653,76.10204081632654,78.6734693877551,2612.862862783414,129.04219000714286,4.006987775510204,71.32429516261861,43.50204438851325
2024,56.61020408163265,48.9,79.04081632653062,76.22448979591837,77.61224489795919,2672.2162508882525,NA,3.9418708775510205,72.01104331560347,43.52861320876862
